id,title,answer_id,stage,step,x,y,se,anim_id
1,SKIP,10001,1,1,424,-153,correct_answer,1
2,<font="FOT-RodinMariaPro-EB SDF">スキップ</font>,10002,1,1,55,-480,incorrect_answer,1
3,<font="FOT-RodinMariaPro-EB SDF">すきっぷ</font>,10003,1,1,-177,48,incorrect_answer,1
4,<font="FOT-RodinMariaPro-EB SDF">スキップ</font>,10004,1,2,120,-300,correct_answer,1
5,<font="FOT-RodinMariaPro-EB SDF">ストップ</font>,10005,1,2,-280,-400,incorrect_answer,1
6,<font="FOT-RodinMariaPro-EB SDF">ストリップ</font>,10006,1,2,-50,150,incorrect_answer,1
7,<font="FOT-RodinMariaPro-EB SDF">スキツプ</font>,10007,1,2,585,45,incorrect_answer,1
8,SK<color=#FE5780>I</color>P,10008,1,3,520,153,correct_answer,1
9,SKIP,10009,1,3,135,18,incorrect_answer,1
10,SK<color=#FF8E63>I</color>P,10010,1,3,-229,-178,incorrect_answer,1
11,SK<color=#00E4CA>I</color>P,10011,1,3,306,-332,incorrect_answer,1
12,SL<color=#FE5780>I</color>P,10012,1,3,677,-421,incorrect_answer,1
13,sKiP,20005,2,1,251,-60,correct_answer,1
14,sKIp,20002,2,1,-14,-334,incorrect_answer,1
15,SkIp,20003,2,1,-181,56,incorrect_answer,1
16,SliP,20004,2,1,597,-387,incorrect_answer,1
17,SKIP,20001,2,1,644,91,incorrect_answer,1
18,<font="FOT-RodinMariaPro-EB SDF">ス<color=#FE5780>キ</color>ップ</font>,20006,2,2,453,-329,correct_answer,1
19,<font="FOT-RodinMariaPro-EB SDF">スキップ</font>,20007,2,2,-97,-86,incorrect_answer,1
20,<font="FOT-RodinMariaPro-EB SDF">スリップ</font>,20008,2,2,234,-36,incorrect_answer,1
21,<font="FOT-RodinMariaPro-EB SDF">青春<br>18キップ</font>,20009,2,2,-349,-206,incorrect_answer,1
22,<font="FOT-RodinMariaPro-EB SDF">スキ<color=#FE5780>ッ</color>プ</font>,20010,2,2,476,189,incorrect_answer,1
23,SK<color=#FE5780>I</color><color=#00E4CA>P</color>,20011,2,3,386,-438,correct_answer,1
24,SK<color=#00E4CA>I</color><color=#FE5780>P</color>,20012,2,3,-203,-403,incorrect_answer,1
25,SK<color=#FE5780>I</color><color=#FF8E63>P</color>,20013,2,3,63,-240,incorrect_answer,1
26,SK<color=#FF8E63>I</color><color=#FE5780>P</color>,20014,2,3,320,75,incorrect_answer,1
27,SL<color=#FE5780>I</color><color=#00E4CA>P</color>,20015,2,3,-268,80,incorrect_answer,1
28,STL<color=#FE5780>I</color><color=#00E4CA>P</color>,20016,2,3,702,-238,incorrect_answer,1
29,S<color=#FE5780>K</color><color=#00E4CA>I</color>P,20017,2,3,620,327,incorrect_answer,1
30,SKiP,30001,3,1,532,243,correct_answer,1
31,SKIP,30002,3,1,-171,-295,incorrect_answer,1
32,sKIP,30003,3,1,491,-308,incorrect_answer,1
33,SKIp,30004,3,1,-273,24,incorrect_answer,1
34,skip,30005,3,1,802,-398,incorrect_answer,1
35,<font="FOT-RodinMariaPro-EB SDF">ス<color=#FE5780>キ</color>ッ<color=#00E4CA>プ</color></font>,30006,3,2,-233,-92,correct_answer,1
36,<font="FOT-RodinMariaPro-EB SDF">ス<color=#00E4CA>キ</color>ッ<color=#FE5780>プ</color></font>,30007,3,2,-295,-395,incorrect_answer,1
37,<font="FOT-RodinMariaPro-EB SDF">ス<color=#FE5780>ト</color>ッ<color=#00E4CA>プ</color></font>,30008,3,2,67,-216,incorrect_answer,1
38,<font="FOT-RodinMariaPro-EB SDF">ス<color=#FE5780>キ</color>ッ<color=#FF8E63>プ</color></font>,30009,3,2,434,-230,incorrect_answer,1
39,<font="FOT-RodinMariaPro-EB SDF">ス<color=#FE5780>キ</color><color=#00E4CA>ッ</color>プ</font>,30010,3,2,500,207,incorrect_answer,1
40,<font="FOT-RodinMariaPro-EB SDF"><color=#FE5780>ス</color>キッ<color=#00E4CA>プ</color></font>,30011,3,2,698,-42,incorrect_answer,1
41,<color=#FF8E63>S</color>K<color=#00E4CA>I</color><color=#FE5780>P</color>,30012,3,3,360,27,correct_answer,1
42,<color=#FF8E63>S</color>K<color=#FE5780>I</color><color=#00E4CA>P</color>,30013,3,3,-177,48,incorrect_answer,1
43,<color=#FF8E63>S</color><color=#FE5780>K</color>I<color=#00E4CA>P</color>,30014,3,3,-81,-408,incorrect_answer,1
44,SK<color=#FF8E63>I</color><color=#FE5780>P</color>,30015,3,3,190,-218,incorrect_answer,1
45,S<color=#FF8E63>K</color><color=#FE5780>I</color><color=#00E4CA>P</color>,30016,3,3,-343,-239,incorrect_answer,1
46,<color=#FF8E63>S</color>TL<color=#00E4CA>I</color><color=#FE5780>P</color>,30017,3,3,538,-412,incorrect_answer,1
47,SEISYUN<br>18<color=#FE5780>K</color><color=#00E4CA>I</color>P,30018,3,3,680,87,incorrect_answer,1
